dv2_rank_high_to_low,lga_code,lga_name,state_abbrev,vulnerable_pct_dv2,vulnerable_n_dv2,valid_scores_n_dv2,dv2_vulnerability_quartile,is_high_dv2_lga,usual_resident_population,irsd_score,irsd_australia_decile,irsd_australia_percentile,irsd_disadvantage_group,irsad_score,irsad_australia_decile,ier_score,ier_australia_decile,ieo_score,ieo_australia_decile,n_services,services_per_10000_population,total_approved_places,approved_places_per_10000_population,mean_train_distance_km,median_train_distance_km,mean_bus_distance_km,median_bus_distance_km,mean_nearest_transport_distance_km,median_nearest_transport_distance_km,transport_distance_quartile,pct_within_1km_any_transport,pct_farther_than_5km_any_transport
337,12700,Dungog,NSW,8.49056603773585,9.0,106.0,Q2 lower-middle DV2,False,9541.0,1008.909499,8.0,73.0,Advantaged: IRSD deciles 7-8,974.3926398,7.0,1039.75625,9.0,945.3577629,6.0,8.0,8.384865318100827,260.0,272.5081228382769,6.74730925828626,3.673192333490665,46.06403566525221,42.5967934360176,6.74730925828626,3.673192333490665,Q2 relatively close to transport,37.5,37.5
338,17350,Temora,NSW,8.47457627118644,5.0,59.0,Q2 lower-middle DV2,False,6034.0,971.7356406,5.0,45.0,Middle: IRSD deciles 5-6,939.3580851,4.0,980.2885734,5.0,923.6369786,4.0,4.0,6.629101756711965,203.0,336.42691415313226,48.91371663253853,48.08513248164825,57.99306111757112,50.495897878449455,48.91371663253853,48.08513248164825,Q4 farthest from transport,0.0,100.0
339,23110,Hobsons Bay,VIC,8.44091360476663,85.0,1007.0,Q2 lower-middle DV2,False,91322.0,1020.66275,8.0,78.0,Advantaged: IRSD deciles 7-8,1034.269139,9.0,1002.979852,7.0,1043.041806,9.0,68.0,7.446179452924816,5503.0,602.5930224918421,2.473418505411405,2.084946171032425,5.0873201157896455,4.08598136386259,1.5353748127782243,1.334811675338845,Q1 closest to transport,33.82352941176471,0.0
340,50280,Augusta Margaret River,WA,8.3969465648855,22.0,262.0,Q2 lower-middle DV2,False,16791.0,1031.358261,9.0,85.0,Most advantaged: IRSD deciles 9-10,999.1673281,8.0,1036.142251,9.0,993.1992041,8.0,10.0,5.955571437079388,474.0,282.294086117563,44.12314764854269,42.55477141025745,231.1261026791445,229.692018690906,44.12314764854269,42.55477141025745,Q4 farthest from transport,0.0,100.0
341,10500,Bayside (NSW),NSW,8.38168923275306,130.0,1551.0,Q2 lower-middle DV2,False,175184.0,1003.858592,7.0,70.0,Advantaged: IRSD deciles 7-8,1044.468064,9.0,965.8990706,4.0,1051.299158,9.0,112.0,6.393277924924651,6373.0,363.7889304959357,1.4425027479759536,1.23381722666106,5.050968465385688,5.35504827046447,1.1940408479637052,0.8765575908413386,Q1 closest to transport,52.67857142857143,0.0
342,13800,Hawkesbury,NSW,8.34419817470665,64.0,767.0,Q2 lower-middle DV2,False,67207.0,1025.852244,8.0,80.0,Advantaged: IRSD deciles 7-8,1008.156759,9.0,1056.409939,10.0,968.5195629,7.0,61.0,9.076435490350708,3514.0,522.8622018539735,3.991709688373804,3.34216523472705,24.942429032776417,23.3306561878997,3.991709688373804,3.34216523472705,Q2 relatively close to transport,19.672131147540984,32.78688524590164
343,45120,Northern Areas,SA,8.33333333333333,5.0,60.0,Q1 lowest DV2,False,4559.0,979.230438,6.0,51.0,Middle: IRSD deciles 5-6,948.3618582,5.0,975.459712,5.0,957.0070124,6.0,5.0,10.967317394165388,181.0,397.01688966878703,9.387138097223966,11.8228507904308,40.63466705369024,50.575096780136,9.387138097223966,11.8228507904308,Q3 relatively far from transport,20.0,80.0
344,56790,Northampton,WA,8.33333333333333,3.0,36.0,Q1 lowest DV2,False,3227.0,953.7150936,4.0,33.0,Disadvantaged: IRSD deciles 3-4,923.2245622,3.0,982.7305618,6.0,892.1008947,2.0,2.0,6.197706848466068,34.0,105.36101642392316,64.71126468182165,64.71126468182165,86.23883036616675,86.23883036616675,64.71126468182165,64.71126468182165,Q4 farthest from transport,0.0,100.0
345,50630,Boddington,WA,8.33333333333333,2.0,24.0,Q1 lowest DV2,False,1705.0,975.7295495,5.0,48.0,Middle: IRSD deciles 5-6,943.850527,5.0,1010.501083,8.0,894.3568932,2.0,1.0,5.865102639296188,36.0,211.14369501466277,31.5841649064806,31.5841649064806,99.4977480879296,99.4977480879296,31.5841649064806,31.5841649064806,Q3 relatively far from transport,0.0,100.0
346,37300,Weipa,QLD,8.33333333333333,7.0,84.0,Q1 lowest DV2,False,4100.0,1058.087043,10.0,92.0,Most advantaged: IRSD deciles 9-10,1035.648363,9.0,1010.877347,8.0,943.8143933,6.0,4.0,9.75609756097561,225.0,548.780487804878,568.3902147906382,568.4195297671665,678.8646952094205,678.7607701510775,568.3902147906382,568.4195297671665,Q4 farthest from transport,0.0,100.0
347,12870,Federation,NSW,8.10810810810811,9.0,111.0,Q1 lowest DV2,False,12899.0,969.385201,5.0,44.0,Middle: IRSD deciles 5-6,924.7363415,3.0,976.1076278,5.0,897.1402401,2.0,8.0,6.202031165206605,335.0,259.7100550430266,29.964795224398124,27.2286945572723,44.93020379890903,49.07353416203725,29.964795224398124,27.2286945572723,Q3 relatively far from transport,0.0,100.0
348,15900,Newcastle,NSW,8.10810810810811,138.0,1702.0,Q1 lowest DV2,False,168873.0,1012.107402,8.0,75.0,Advantaged: IRSD deciles 7-8,1012.106856,9.0,976.1408549,5.0,1022.877068,9.0,133.0,7.875740941417514,9091.0,538.3335405896738,1.6619901699942323,1.17287945094053,7.483301080035056,7.45202730491298,1.6396075994190178,1.17287945094053,Q1 closest to transport,40.6015037593985,4.511278195488721
349,18350,Wingecarribee,NSW,8.07860262008734,37.0,458.0,Q1 lowest DV2,False,52709.0,1045.459274,9.0,89.0,Most advantaged: IRSD deciles 9-10,1030.881734,9.0,1055.072401,10.0,1019.849787,9.0,37.0,7.019674059458536,1461.0,277.1822648883492,4.15193596154731,2.28937763024448,35.86817681833202,35.6654227025287,4.148218940607375,2.28937763024448,Q2 relatively close to transport,35.13513513513514,32.432432432432435
350,27450,Yarra Ranges,VIC,8.06553245116572,128.0,1587.0,Q1 lowest DV2,False,156068.0,1041.249719,9.0,87.0,Most advantaged: IRSD deciles 9-10,1014.133403,9.0,1054.464592,10.0,1000.873962,8.0,134.0,8.58600097393444,7032.0,450.57282722915653,7.033934195663464,3.9830607225567,13.518072008437574,10.03096689067433,7.033934195663464,3.9830607225567,Q2 relatively close to transport,11.940298507462686,40.298507462686565
351,56230,Murray,WA,8.05687203791469,17.0,211.0,Q1 lowest DV2,False,18068.0,962.4501679,4.0,39.0,Disadvantaged: IRSD deciles 3-4,931.458677,4.0,1025.975691,9.0,884.4937512,2.0,8.0,4.427717511622759,423.0,234.11556342705336,5.377370267647246,7.02578937961356,64.96479579135385,64.3527214115244,5.377370267647246,7.02578937961356,Q3 relatively far from transport,12.5,62.5
352,50420,Bayswater,WA,8.05555555555556,58.0,720.0,Q1 lowest DV2,False,69283.0,1017.662753,8.0,76.0,Advantaged: IRSD deciles 7-8,1017.325278,9.0,994.4117741,7.0,1027.961684,9.0,33.0,4.763073192558059,1987.0,286.794740412511,1.459507009664957,1.35982218074546,6.972218934145526,6.61846416208418,1.459507009664957,1.35982218074546,Q1 closest to transport,33.33333333333333,0.0
353,11450,Camden,NSW,8.02568218298555,150.0,1869.0,Q1 lowest DV2,False,119325.0,1044.849576,9.0,89.0,Most advantaged: IRSD deciles 9-10,1049.664908,9.0,1097.800241,10.0,1002.159197,8.0,91.0,7.626230882044836,8228.0,689.5453593128012,6.085715671359784,5.81006553786656,40.955795987014646,42.0070741508253,6.085715671359784,5.81006553786656,Q3 relatively far from transport,0.0,73.62637362637363
